,성별,골격근량,체지방량,BMI,체지방율,복부지방율,몸무게,나이,키,권장섭취량,탄수화물,단백질,지방,비타민A,티아민,리보플라빈,비타민C,칼슘,철분,알레르기
98,1,29.1,10.3,21.82958604,16.6,0.8,62.2,17,168.8,2700,247.62,123.81,18.34222222,850.0,1.3,1.7,110.0,900.0,15.0,
99,1,29.1,14.2,23.17086038,21.5,0.9,66.1,17,168.9,2700,255.73875,127.869375,18.94361111,850.0,1.3,1.7,110.0,900.0,15.0,6
100,1,29.1,7.0,20.00430075,12.0,0.8,58.7,17,171.3,2700,242.27625,121.138125,17.94638889,850.0,1.3,1.7,110.0,900.0,15.0,
101,1,29.1,9.2,20.16403806,15.0,0.8,61.4,17,174.5,2700,250.245,125.1225,18.53666667,850.0,1.3,1.7,110.0,900.0,15.0,
102,1,29.2,13.5,22.46845183,20.6,0.9,65.7,17,171.0,2700,256.48875,128.244375,18.99916667,850.0,1.3,1.7,110.0,900.0,15.0,
103,1,29.2,6.3,18.43449863,10.7,0.8,59.0,17,178.9,2700,248.595,124.2975,18.41444444,850.0,1.3,1.7,110.0,900.0,15.0,
104,1,29.2,8.9,19.74009951,14.7,0.8,60.8,17,175.5,2700,249.7575,124.87875,18.50055556,850.0,1.3,1.7,110.0,900.0,15.0,
105,1,29.2,8.0,20.64344015,13.4,0.8,59.8,17,170.2,2700,243.72,121.86,18.05333333,850.0,1.3,1.7,110.0,900.0,15.0,
106,1,29.2,9.1,20.48719617,14.8,0.8,61.6,17,173.4,2700,249.8325,124.91625,18.50611111,850.0,1.3,1.7,110.0,900.0,15.0,
107,1,29.3,11.5,23.47455963,18.1,0.9,63.6,17,164.6,2700,247.3575,123.67875,18.32277778,850.0,1.3,1.7,110.0,900.0,15.0,
108,1,29.3,17.8,24.42818532,25.4,0.9,70.1,17,169.4,2700,264.36375,132.181875,19.5825,850.0,1.3,1.7,110.0,900.0,15.0,
109,1,29.3,6.0,19.98606823,10.4,0.8,58.1,17,170.5,2700,240.43875,120.219375,17.81027778,850.0,1.3,1.7,110.0,900.0,15.0,
110,1,29.3,8.2,21.35930625,13.6,0.8,60.5,17,168.3,2700,243.73875,121.869375,18.05472222,850.0,1.3,1.7,110.0,900.0,15.0,
111,1,29.3,9.0,19.9576404,14.7,0.8,61.4,17,175.4,2700,250.92,125.46,18.58666667,850.0,1.3,1.7,110.0,900.0,15.0,
112,1,29.4,4.5,17.14768748,7.8,0.8,56.8,17,182.0,2700,246.3825,123.19125,18.25055556,850.0,1.3,1.7,110.0,900.0,15.0,
113,1,29.4,7.6,19.77219792,12.6,0.8,60.0,17,174.2,2700,247.1325,123.56625,18.30611111,850.0,1.3,1.7,110.0,900.0,15.0,
114,1,29.5,22.8,27.7318641,30.2,0.9,75.5,17,165.0,2700,272.20125,136.100625,20.16305556,850.0,1.3,1.7,110.0,900.0,15.0,"18,5"
115,1,29.6,11.9,20.75400451,18.4,0.8,64.8,17,176.7,2700,258.9075,129.45375,19.17833333,850.0,1.3,1.7,110.0,900.0,15.0,"17,1"
116,1,29.6,12.6,21.80185828,19.4,0.8,65.1,17,172.8,2700,256.60125,128.300625,19.0075,850.0,1.3,1.7,110.0,900.0,15.0,
117,1,29.6,13.5,22.03065134,20.2,0.8,66.7,17,174.0,2700,260.80125,130.400625,19.31861111,850.0,1.3,1.7,110.0,900.0,15.0,
118,1,29.6,4.9,17.60968306,8.5,0.8,57.5,17,180.7,2700,246.85125,123.425625,18.28527778,850.0,1.3,1.7,110.0,900.0,15.0,
119,1,29.7,11.5,21.98927359,17.8,0.8,64.6,17,171.4,2700,254.52,127.26,18.85333333,850.0,1.3,1.7,110.0,900.0,15.0,
120,1,29.7,15.2,22.62518166,22.2,0.9,68.5,17,174.0,2700,264.51375,132.256875,19.59361111,850.0,1.3,1.7,110.0,900.0,15.0,
121,1,29.7,8.1,20.52924597,13.3,0.8,61.3,17,172.8,2700,248.76375,124.381875,18.42694444,850.0,1.3,1.7,110.0,900.0,15.0,
122,1,29.8,12.2,21.80127901,18.6,0.8,65.4,17,173.2,2700,257.52,128.76,19.07555556,850.0,1.3,1.7,110.0,900.0,15.0,
123,1,29.8,17.9,25.19937625,25.3,0.9,70.7,17,167.5,2700,264.17625,132.088125,19.56861111,850.0,1.3,1.7,110.0,900.0,15.0,
124,1,29.8,6.8,22.43940511,11.4,0.9,59.4,17,162.7,2700,237.27,118.635,17.57555556,850.0,1.3,1.7,110.0,900.0,15.0,10
125,1,29.8,8.4,21.25526327,13.6,0.8,61.5,17,170.1,2700,247.15125,123.575625,18.3075,850.0,1.3,1.7,110.0,900.0,15.0,6
126,1,29.9,11.4,22.08311225,17.5,0.9,64.8,17,171.3,2700,254.8575,127.42875,18.87833333,850.0,1.3,1.7,110.0,900.0,15.0,
127,1,29.9,11.7,21.41221922,17.8,0.8,65.5,17,174.9,2700,259.00125,129.500625,19.18527778,850.0,1.3,1.7,110.0,900.0,15.0,3
128,1,29.0,13.4,22.8983579,20.5,0.9,65.4,17,169.0,2700,254.37,127.185,18.84222222,850.0,1.3,1.7,110.0,900.0,15.0,
129,1,29.0,6.5,19.04761284,11.1,0.8,58.4,17,175.1,2700,244.5075,122.25375,18.11166667,850.0,1.3,1.7,110.0,900.0,15.0,
130,1,29.0,6.7,20.28131791,11.5,0.8,58.2,17,169.4,2700,239.82,119.91,17.76444444,850.0,1.3,1.7,110.0,900.0,15.0,
131,1,29.0,8.6,22.10890129,14.3,0.8,59.9,17,164.6,2700,239.72625,119.863125,17.7575,850.0,1.3,1.7,110.0,900.0,15.0,
132,1,30.1,10.0,20.6345931,15.7,0.8,63.7,17,175.7,2700,255.88875,127.944375,18.95472222,850.0,1.3,1.7,110.0,900.0,15.0,
133,1,30.1,12.7,23.44013036,19.2,0.8,66.0,17,167.8,2700,254.7075,127.35375,18.86722222,850.0,1.3,1.7,110.0,900.0,15.0,
134,1,30.1,17.6,25.80200319,24.8,0.9,71.1,17,166.0,2700,263.87625,131.938125,19.54638889,850.0,1.3,1.7,110.0,900.0,15.0,
135,1,30.1,5.7,19.06764359,9.6,0.8,59.4,17,176.5,2700,247.62,123.81,18.34222222,850.0,1.3,1.7,110.0,900.0,15.0,
136,1,30.2,18.0,24.33747972,25.0,0.9,72.0,17,172.0,2700,270.2325,135.11625,20.01722222,850.0,1.3,1.7,110.0,900.0,15.0,
137,1,30.2,7.4,20.84052643,12.2,0.8,60.3,17,170.1,2700,244.67625,122.338125,18.12416667,850.0,1.3,1.7,110.0,900.0,15.0,
138,1,30.4,23.5,29.23360188,30.5,0.9,77.1,17,162.4,2700,273.55125,136.775625,20.26305556,850.0,1.3,1.7,110.0,900.0,15.0,
139,1,30.4,4.8,19.62502143,8.1,0.8,58.6,17,172.8,2700,243.195,121.5975,18.01444444,850.0,1.3,1.7,110.0,900.0,15.0,
140,1,30.6,11.7,22.37163087,17.8,0.8,65.8,17,171.5,2700,257.07,128.535,19.04222222,850.0,1.3,1.7,110.0,900.0,15.0,
141,1,30.6,12.4,24.06009613,18.6,0.9,66.7,17,166.5,2700,255.17625,127.588125,18.90194444,850.0,1.3,1.7,110.0,900.0,15.0,
142,1,30.6,14.3,22.53321505,20.9,0.9,68.3,17,174.1,2700,264.17625,132.088125,19.56861111,850.0,1.3,1.7,110.0,900.0,15.0,
143,1,30.6,19.1,25.79541115,26.0,0.9,73.5,17,168.8,2700,270.92625,135.463125,20.06861111,850.0,1.3,1.7,110.0,900.0,15.0,
144,1,30.6,6.0,19.92130429,9.8,0.8,60.8,17,174.7,2700,249.1575,124.57875,18.45611111,850.0,1.3,1.7,110.0,900.0,15.0,
145,1,30.6,8.2,19.06366444,13.0,0.8,62.8,17,181.5,2700,258.3825,129.19125,19.13944444,850.0,1.3,1.7,110.0,900.0,15.0,
146,1,30.6,8.4,19.4660674,13.4,0.8,63.0,17,179.9,2700,257.595,128.7975,19.08111111,850.0,1.3,1.7,110.0,900.0,15.0,
147,1,30.6,9.4,21.25214018,14.7,0.8,63.9,17,173.4,2700,254.57625,127.288125,18.8575,850.0,1.3,1.7,110.0,900.0,15.0,
148,1,30.8,13.5,24.37959456,19.7,0.9,68.4,17,167.5,2700,259.4325,129.71625,19.21722222,850.0,1.3,1.7,110.0,900.0,15.0,
149,1,30.8,15.2,24.61830105,21.9,0.9,69.4,17,167.9,2700,261.795,130.8975,19.39222222,850.0,1.3,1.7,110.0,900.0,15.0,
150,1,30.8,3.9,19.85567238,6.7,0.8,58.4,17,171.5,2700,241.8075,120.90375,17.91166667,850.0,1.3,1.7,110.0,900.0,15.0,
151,1,30.8,6.2,20.56564676,10.1,0.8,60.7,17,171.8,2700,246.77625,123.388125,18.27972222,850.0,1.3,1.7,110.0,900.0,15.0,
152,1,30.0,14.5,24.15715131,21.3,0.9,68.1,17,167.9,2700,259.11375,129.556875,19.19361111,850.0,1.3,1.7,110.0,900.0,15.0,
153,1,30.0,6.7,18.83048311,11.1,0.8,60.2,17,178.8,2700,250.995,125.4975,18.59222222,850.0,1.3,1.7,110.0,900.0,15.0,
154,1,30.0,7.6,20.50971509,12.5,0.8,61.1,17,172.6,2700,248.20125,124.100625,18.38527778,850.0,1.3,1.7,110.0,900.0,15.0,
155,1,30.0,8.9,20.91252455,14.2,0.8,62.3,17,172.6,2700,250.67625,125.338125,18.56861111,850.0,1.3,1.7,110.0,900.0,15.0,
156,1,31.1,13.8,22.39760368,19.9,0.8,69.3,17,175.9,2700,267.58875,133.794375,19.82138889,850.0,1.3,1.7,110.0,900.0,15.0,
157,1,31.1,21.8,26.07176337,28.2,0.9,77.4,17,172.3,2700,281.595,140.7975,20.85888889,850.0,1.3,1.7,110.0,900.0,15.0,12
158,1,31.1,6.9,20.58697147,11.1,0.8,61.9,17,173.4,2700,250.45125,125.225625,18.55194444,850.0,1.3,1.7,110.0,900.0,15.0,
159,1,31.2,12.9,22.65611375,18.9,0.9,68.2,17,173.5,2700,263.52,131.76,19.52,850.0,1.3,1.7,110.0,900.0,15.0,
160,1,31.2,13.0,22.62014982,18.9,0.8,68.8,17,174.4,2700,265.4325,132.71625,19.66166667,850.0,1.3,1.7,110.0,900.0,15.0,
161,1,31.3,15.8,24.76411659,22.1,0.9,71.4,17,169.8,2700,267.345,133.6725,19.80333333,850.0,1.3,1.7,110.0,900.0,15.0,2
162,1,31.3,5.6,20.33070618,9.1,0.8,61.2,17,173.5,2700,249.0825,124.54125,18.45055556,850.0,1.3,1.7,110.0,900.0,15.0,15
163,1,31.3,5.9,20.00323179,9.6,0.8,61.4,17,175.2,2700,250.77,125.385,18.57555556,850.0,1.3,1.7,110.0,900.0,15.0,
164,1,31.4,12.2,23.92275921,18.1,0.9,67.6,17,168.1,2700,258.2325,129.11625,19.12833333,850.0,1.3,1.7,110.0,900.0,15.0,
