,칼로리(Kcal),탄수화물(g),단백질(g),지방(g),비타민A(mg),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
3832,18.0,755.1,518.1999999999999,8567.699999999999,16.700000000000003,12.8,1222.9999999999998,6530.4000000000015,128.5,규칙규칙규칙규칙규칙규칙규칙
3833,18.0,875.7,464.00000000000006,8233.5,18.499999999999996,14.200000000000001,952.3,6193.799999999999,161.1,규칙규칙규칙규칙규칙규칙규칙
3834,16.0,738.8,442.6,5926.500000000001,17.7,11.4,1323.7,6170.199999999999,119.10000000000001,규칙규칙규칙규칙규칙규칙규칙
3835,18.0,804.5999999999999,452.99999999999994,10773.399999999998,15.500000000000002,14.7,992.5,6201.2,141.0,규칙규칙규칙규칙규칙규칙규칙
3836,16.0,761.6999999999999,403.5,6489.700000000001,21.200000000000003,12.899999999999999,808.7,5209.599999999999,115.3,규칙규칙규칙규칙규칙규칙규칙
3837,20.0,835.6,501.7,7019.599999999999,15.099999999999998,11.299999999999999,887.0000000000001,8499.9,169.5,규칙규칙규칙규칙규칙규칙규칙
3838,17.0,753.2,471.80000000000007,7506.400000000001,13.500000000000002,13.2,757.6,6448.4,121.7,규칙규칙규칙규칙규칙규칙규칙
3839,18.0,793.8000000000001,442.20000000000005,7785.8,19.5,12.000000000000002,1571.1999999999998,5804.2,162.3,규칙규칙규칙규칙규칙규칙규칙
3840,16.0,735.5,394.8,8741.2,18.599999999999998,12.1,970.0,6670.6,131.89999999999998,규칙규칙규칙규칙규칙규칙규칙
3841,20.0,803.2,376.9000000000001,5364.2,20.4,11.1,1110.0,4832.1,128.4,규칙규칙규칙규칙규칙규칙규칙
3842,17.0,842.4000000000001,481.7,8044.799999999998,15.100000000000001,12.4,952.5999999999999,6571.700000000001,147.5,규칙규칙규칙규칙규칙규칙규칙
3843,18.0,774.3000000000001,480.2,6991.1,16.099999999999998,14.2,943.0999999999999,5979.3,155.5,규칙규칙규칙규칙규칙규칙규칙
