,단백질(g),리보플라빈(mg),비타민A(mg),비타민C(mg),지방(g),철분(mg),칼로리(kcal),칼슘(mg),탄수화물(g),티아민(mg)
4667,905.75,11.900000000000002,8115.8,896.5999999999998,426.33,130.8,19498.860000000004,5764.1,2718.07,11.5
4668,487.3,917.7999999999997,25.2,5593.4,6255.799999999998,규칙규칙규칙규칙규칙규칙규칙,,132.5,821.4000000000002,11.7
4669,772.5399999999997,12.1,6339.199999999999,954.3,504.79000000000013,135.89999999999998,19527.050000000007,6137.8,2795.19,10.9
4670,535.9,757.5,26.9,5676.7,7582.1,규칙규칙규칙규칙규칙규칙규칙,,130.7,751.7,11.8
4671,461.1,741.5000000000001,63.2,5299.6,7642.8,규칙규칙규칙규칙규칙규칙규칙,,154.20000000000005,755.0,11.000000000000002
4672,512.8,1005.2,15.7,5142.000000000001,7151.5,규칙규칙규칙규칙규칙규칙규칙,,211.1,861.4,14.1
4673,477.6,836.8,15.700000000000005,6865.1,8880.2,규칙규칙규칙규칙규칙규칙규칙,,143.3,937.8,13.1
4674,495.0,881.9000000000002,16.2,4921.3,6547.200000000002,규칙규칙규칙규칙규칙규칙규칙,,128.0,815.4000000000002,11.8
4675,724.5400000000002,9.9,5902.3,772.6,407.18,149.8,17049.99,5472.3,2318.86,12.6
4676,466.7,1174.3,44.0,5558.7,7253.9,규칙규칙규칙규칙규칙규칙규칙,,112.8,710.5,11.099999999999998
4677,757.71,10.1,4638.0999999999985,1005.6000000000003,404.44000000000005,114.4,17497.86,4890.0,2370.34,12.9
4678,755.22,9.7,5701.9000000000015,747.5,500.20999999999987,110.5,18464.97,4927.5,2560.28,19.0
4679,706.62,10.2,6217.7,1361.4,461.83,114.4,16578.600000000002,4337.0999999999985,2174.79,11.6
4680,639.4899999999999,9.0,7511.0999999999985,778.7,451.54,113.4,16140.8,4577.8,2242.83,9.4
4681,426.8,974.9,45.2,5727.800000000001,9387.499999999998,규칙규칙규칙규칙규칙규칙규칙,,349.6,843.9000000000002,29.0
4682,417.4,1006.1,14.1,6233.200000000002,6641.8,규칙규칙규칙규칙규칙규칙규칙,,219.3,764.0999999999998,12.0
4683,480.1,846.4000000000002,14.8,5468.699999999999,7606.700000000002,규칙규칙규칙규칙규칙규칙규칙,,145.0,860.1,13.8
4684,725.53,11.9,6174.799999999998,957.4,446.8,180.6,18016.3,5006.7,2615.08,19.200000000000006
4685,497.3,995.9,19.200000000000006,5944.200000000002,7475.300000000001,규칙규칙규칙규칙규칙규칙규칙,,129.8,833.5,11.3
4686,511.4,832.9000000000002,19.4,5710.1,5207.0999999999985,규칙규칙규칙규칙규칙규칙규칙,,168.9,810.8999999999999,10.6
4687,569.3,876.9999999999999,16.6,5730.8,6728.900000000002,규칙규칙규칙규칙규칙규칙규칙,,184.3,816.9000000000002,13.5
4688,450.0,1107.2,35.1,5081.299999999998,6906.5,규칙규칙규칙규칙규칙규칙규칙,,128.5,725.6,23.1
4689,473.1,1019.5,15.2,7177.200000000002,9277.8,규칙규칙규칙규칙규칙규칙규칙,,153.0,795.1999999999998,10.6
4690,482.9,763.4,16.2,4467.2,5030.0,규칙규칙규칙규칙규칙규칙규칙,,122.6,723.4,10.1
4691,831.5700000000003,18.0,6040.8,792.1,483.28,143.99999999999997,18931.07,6178.0999999999985,2488.29,14.599999999999998
4692,438.2,1001.4,14.6,5226.4000000000015,8030.999999999999,규칙규칙규칙규칙규칙규칙규칙,,181.8,832.4000000000002,18.8
4693,700.09,11.3,6186.9,867.6,508.64999999999986,130.0,17409.81,5015.199999999999,2345.9200000000005,14.999999999999998
4694,492.8,866.7,21.3,5775.3,5452.6,규칙규칙규칙규칙규칙규칙규칙,,152.89999999999995,831.6,11.4
4695,730.8699999999999,10.0,7174.1,942.0,438.91000000000014,110.20000000000002,17478.640000000007,4794.999999999999,2556.1500000000005,11.1
4696,391.9,845.1000000000001,16.400000000000002,5357.9,9005.5,규칙규칙규칙규칙규칙규칙규칙,,138.1,878.1,11.500000000000002
4697,478.8,828.6999999999998,15.8,5070.200000000002,8064.099999999998,규칙규칙규칙규칙규칙규칙규칙,,148.0,827.3000000000002,11.8
4698,682.14,86.6,6867.999999999999,807.6,566.1999999999998,118.50000000000004,18030.020000000004,3983.9,2409.8,87.60000000000002
4699,763.07,11.6,6877.6,996.9,497.46,114.1,18658.230000000003,6222.0,2554.69,15.400000000000002
4700,510.4,795.6,15.6,6024.9,7181.5,규칙규칙규칙규칙규칙규칙규칙,,210.00000000000003,804.1,12.3
4701,457.00000000000006,1040.9,14.4,6009.7,6749.2,규칙규칙규칙규칙규칙규칙규칙,,120.3,729.2,10.5
4702,705.4699999999998,10.6,5154.0999999999985,733.9000000000002,429.24,153.6,18018.93,6753.7,2545.37,12.9
4703,702.99,10.1,6436.1,812.3000000000003,446.78,123.3,16049.220000000005,7528.3,2052.81,12.8
4704,783.69,10.2,5675.299999999998,932.0,473.16,129.20000000000002,18801.9,5176.4,2491.3,17.5
4705,719.3800000000001,13.499999999999998,6390.5999999999985,721.9999999999999,427.15,197.1,17751.9,5865.700000000002,2384.31,12.6
4706,450.69999999999993,851.7,15.0,5091.8,6686.299999999998,규칙규칙규칙규칙규칙규칙규칙,,156.0,755.7,10.6
4707,645.4,8.2,5627.9000000000015,716.6,454.82,107.7,18091.01,5291.700000000002,2543.9800000000005,13.7
4708,395.3,1048.3000000000004,10.999999999999998,6576.5999999999985,6985.499999999999,규칙규칙규칙규칙규칙규칙규칙,,166.79999999999995,735.0,11.5
4709,820.19,10.7,7234.0999999999985,874.9,449.78,126.1,17228.45,5143.0999999999985,2392.91,14.4
4710,726.82,92.20000000000002,5139.4,667.0,473.18,99.5,18411.21,5837.0,2467.99,95.5
4711,480.10000000000014,784.7,15.0,5657.299999999998,6423.0,규칙규칙규칙규칙규칙규칙규칙,,137.4,791.6999999999998,12.4
4712,612.18,9.3,5113.0,689.6,338.18999999999994,112.6,16039.7,4871.799999999998,2295.21,11.6
4713,723.99,10.0,5870.8,687.4000000000002,469.95,110.9,18175.100000000006,4734.1,2427.09,18.100000000000005
4714,749.31,146.59999999999997,6223.299999999998,646.9000000000002,475.37,132.60000000000002,17946.27,4891.6,2489.53,186.00000000000009
4715,480.6,936.8,12.799999999999995,5076.1,8018.3,규칙규칙규칙규칙규칙규칙규칙,,135.3,893.5000000000001,12.3
4716,587.0,933.6999999999997,18.4,7102.1,10223.9,규칙규칙규칙규칙규칙규칙규칙,,157.20000000000005,853.3,13.9
4717,384.7000000000001,793.9,150.79999999999995,5677.8,7309.9,규칙규칙규칙규칙규칙규칙규칙,,124.4,711.9,151.00000000000003
4718,731.26,9.5,5508.3,806.8000000000003,412.17,115.2,17196.910000000003,4807.1,2385.3,19.6
4719,378.7,799.5000000000001,13.1,6367.299999999998,5670.600000000001,규칙규칙규칙규칙규칙규칙규칙,,132.89999999999998,700.6,10.2
4720,409.50000000000006,845.8000000000002,13.8,3901.5,7124.8,규칙규칙규칙규칙규칙규칙규칙,,111.7,780.2,10.6
4721,581.6,1060.7,16.5,6627.700000000002,5923.700000000002,규칙규칙규칙규칙규칙규칙규칙,,124.5,807.0999999999998,10.9
4722,701.5500000000002,14.7,6321.3,706.5000000000001,414.02,197.8,17739.920000000002,5559.5,2504.29,20.5
4723,454.80000000000007,805.4,17.799999999999994,5644.5,8283.5,규칙규칙규칙규칙규칙규칙규칙,,147.70000000000005,862.2,17.8
4724,484.09999999999985,669.9000000000002,13.000000000000002,5304.499999999999,6304.0,규칙규칙규칙규칙규칙규칙규칙,,125.79999999999998,773.9,9.9
4725,713.1899999999997,7.899999999999999,5051.899999999999,554.3000000000002,357.3,117.6,16931.780000000002,5053.8,2283.0600000000004,11.9
4726,425.4,852.4999999999999,45.2,5651.700000000002,5716.3,규칙규칙규칙규칙규칙규칙규칙,,120.7,771.1999999999998,42.50000000000001
4727,685.79,8.7,5826.9,848.7,424.59,95.60000000000002,16728.22,3687.9,2348.1700000000005,10.4
4728,715.9199999999997,9.8,6742.300000000001,703.3000000000002,426.90000000000015,112.4,17192.410000000003,5594.299999999998,2291.69,13.0
4729,739.77,8.6,4569.0,978.5,503.86,127.5,17464.74,5288.1,2244.4400000000005,18.1
4730,659.5200000000002,11.5,6452.299999999998,786.5,358.31000000000006,112.4,16324.22,4295.300000000001,2315.1900000000005,13.4
4731,464.6,895.9,13.5,6648.200000000002,7263.7,규칙규칙규칙규칙규칙규칙규칙,,151.89999999999995,860.1,12.6
4732,974.0,1031.9,15.9,5678.6,8174.6,규칙규칙규칙규칙규칙규칙규칙,,149.0,839.6999999999998,12.9
4733,782.7399999999999,11.4,6265.800000000001,718.1,448.14999999999986,113.79999999999998,18212.08,4776.199999999999,2526.4500000000007,13.9
4734,705.7700000000002,10.3,5591.8,685.6000000000001,461.11,119.1,16884.14,4840.0,2237.95,14.2
4735,469.2,1067.1,16.3,5739.0,7032.700000000002,규칙규칙규칙규칙규칙규칙규칙,,137.5,817.5000000000001,11.5
4736,618.7,1060.4,31.9,5893.0,7770.7,규칙규칙규칙규칙규칙규칙규칙,,132.1,799.0,13.0
4737,725.2799999999999,9.2,5810.4,630.3000000000002,425.54,113.9,17158.75,4703.7,2460.98,87.60000000000002
4738,735.9699999999998,9.9,5901.7,661.9,487.26,103.9,16835.9,4415.4,2207.9600000000005,13.0
